zh	en
深度前馈网络	Deep Feedforward Network
深度生成模型	Deep Generative Model
深度学习	Deep Learning
深度模型	Deep Model
深度网络	Deep Network
深度神经网络	Deep Neural Network
深度 Q 学习	Deep Q-Learning
深度Q网络	Deep Q-Network
深度强化学习	Deep Reinforcement Learning
深度序列模型	Deep Sequence Model
默认规则	Default Rule
定积分	Definite Integral
信任度	Degree Of Belief
去噪	Denoising
去噪自编码器	Denoising Autoencoder
去躁分数匹配	Denoising Score Matching
分母布局	Denominator Layout
稠密	Dense
密度估计	Density Estimation
密度聚类	Density-Based Clustering
依赖	Dependency
深度	Depth
导数	Derivative
描述	Description
设计矩阵	Design Matrix
细致平衡	Detailed Balance
细致平衡方程	Detailed Balance Equation
探测级	Detector Stage
行列式	Determinant
确定性	Deterministic
确定性模型	Deterministic Model
确定性策略	Deterministic Policy
开发集	Development Set
对角矩阵	Diagonal Matrix
直径	Diameter
字典	Dictionary
字典学习	Dictionary Learning
可微函数	Differentiable Function
可微分神经计算机	Differentiable Neural Computer
微分熵	Differential Entropy
微分方程	Differential Equation
微分	Differentiation
膨胀卷积	Dilated Convolution
维度	Dimension
降维	Dimension Reduction
降维算法	Dimensionality Reduction Algorithm
Dirac Delta函数	Dirac Delta Function
Dirac分布	Dirac Distribution
有向	Directed
有向非循环图	Directed Acyclic Graph
有向边	Directed Edge
有向图	Directed Graph
有向图模型	Directed Graphical Model
有向模型	Directed Model
有向分离	Directed Separation
方向导数	Directional Derivative
狄利克雷分布	Dirichlet Distribution
不合度量	Disagreement Measure
基于分歧的方法	Disagreement-Based Methods
衰减系数	Discount Factor
折扣回报	Discounted Return
离散优化	Discrete Optimization
判别函数	Discriminant Function
判别方法	Discriminative Approach
判别式模型	Discriminative Model
判别RBM	Discriminative RBM
判别器	Discriminator
判别网络	Discriminator Network
距离	Distance
距离度量	Distance Measure
距离度量学习	Distance Metric Learning
分布式表示	Distributed Representation
分布	Distribution
发散	Diverge
散度	Divergence
多样性	Diversity
多样性度量/差异性度量	Diversity Measure
分而治之	Divide-And-Conquer
分裂	Divisive
领域	Domain
领域自适应	Domain Adaptation
主特征值	Dominant Eigenvalue
主特征向量	Dominant Eigenvector
占优策略	Dominant Strategy
点积	Dot Product
双反向传播	Double Backprop
双重分块循环矩阵	Doubly Block Circulant Matrix
下采样	Down Sampling
下游任务	Downstream Task
暂退法	Dropout
暂退Boosting	Dropout Boosting
暂退掩码	Dropout Mask
暂退法	Dropout Method
对偶算法	Dual Algorithm
对偶问题	Dual Problem
哑结点	Dummy Node
死亡ReLU问题	Dying ReLU Problem
