word	raw_rating	conc_aligned
累死	3.385	2.615
立功	2.769	3.231
林荫	2.038	3.962
领事	2.280	3.720
露骨	3.269	2.731
露营	1.885	4.115
绿茶	1.462	4.538
麻木	3.960	2.040
面对	3.115	2.885
名模	2.000	4.000
母校	1.654	4.346
木船	1.154	4.846
纳妾	2.038	3.962
纽扣	1.154	4.846
派出	2.917	3.083
判刑	2.500	3.500
叛国	2.346	3.654
胖子	2.038	3.962
贫乏	3.346	2.654
聘请	2.462	3.538
起立	1.808	4.192
缱绻	3.200	2.800
亲友	1.962	4.038
轻松	3.192	2.808
秋天	1.654	4.346
囚室	1.462	4.538
全校	2.038	3.962
妊娠	1.923	4.077
闪避	2.808	3.192
善恶	3.880	2.120
社工	1.923	4.077
饰演	2.654	3.346
首先	2.923	3.077
兽欲	3.538	2.462
输光	2.769	3.231
水果	1.731	4.269
说服	3.038	2.962
送命	3.077	2.923
蒜头	1.308	4.692
挽留	3.231	2.769
午夜	2.077	3.923
峡谷	1.692	4.308
宪制	2.783	3.217
写字	1.615	4.385
新娘	1.231	4.769
虚构	3.385	2.615
药理	3.308	2.692
要挟	3.077	2.923
意欲	3.826	2.174
因子	3.360	2.640
阴道	1.462	4.538
银两	1.500	4.500
英明	3.615	2.385
预兆	3.360	2.640
圆周	2.120	3.880
遭遇	3.115	2.885
摘要	2.423	3.577
掌声	1.615	4.385
爪牙	2.385	3.615
之类	3.850	2.150
中央	2.423	3.577
终年	2.769	3.231
自负	3.692	2.308
组成	3.269	2.731
钻孔	1.923	4.077
哀求	2.556	3.444
罢课	1.583	4.417
白话	2.639	3.361
颁奖	1.583	4.417
半圆	1.444	4.556
背心	1.917	4.083
必经	3.286	2.714
庇护	3.028	2.972
表面	2.556	3.444
不良	3.139	2.861
不配	3.114	2.886
偿还	2.194	3.806
扯谎	2.714	3.286
粗心	3.139	2.861
淡漠	3.389	2.611
盗用	2.500	3.500
点燃	2.000	4.000
鼎立	3.278	2.722
对岸	2.143	3.857
恶梦	2.778	3.222
反应	3.333	2.667
放心	3.167	2.833
分子	2.676	3.324
风速	2.167	3.833
封面	1.722	4.278
锋芒	3.556	2.444
概率	3.200	2.800
公园	1.389	4.611
共和	3.515	2.485
共聚	3.353	2.647
勾结	3.028	2.972
关口	2.667	3.333
冠名	2.706	3.294
光盘	1.417	4.583
行星	1.722	4.278
合同	1.611	4.389
花红	3.265	2.735
换班	2.167	3.833
吉凶	3.583	2.417
疆界	1.972	4.028
金矿	1.417	4.583
颈椎	1.417	4.583
敬重	3.417	2.583
纠察	3.176	2.824
快乐	3.286	2.714
筷子	1.194	4.806
困扰	3.500	2.500
浪漫	3.722	2.278
老练	3.543	2.457
历届	2.250	3.750
恋人	1.694	4.306
嶙峋	3.686	2.314
流血	1.583	4.417
隆起	2.417	3.583
每天	1.694	4.306
明白	2.639	3.361
飘忽	3.667	2.333
拚搏	2.943	3.057
平凡	3.111	2.889
平行	2.222	3.778
企图	3.333	2.667
启程	2.750	3.250
汽油	1.222	4.778
谴责	3.278	2.722
情书	1.778	4.222
情绪	3.514	2.486
群情	3.844	2.156
热带	2.029	3.971
人才	2.583	3.417
仁义	3.583	2.417
日食	1.556	4.444
软件	1.917	4.083
摄制	2.152	3.848
石刻	2.111	3.889
手球	1.714	4.286
抒情	3.389	2.611
竖琴	1.333	4.667
双亲	1.361	4.639
速递	2.250	3.750
算盘	1.806	4.194
烫金	2.086	3.914
特产	2.278	3.722
特约	3.294	2.706
天生	2.972	3.028
天线	1.361	4.639
填写	2.083	3.917
停步	2.083	3.917
痛快	3.257	2.743
汪洋	2.429	3.571
王冠	1.528	4.472
网页	1.611	4.389
微观	3.611	2.389
文静	3.257	2.743
文明	3.611	2.389
武艺	2.611	3.389
瞎眼	2.486	3.514
下课	1.611	4.389
线索	3.057	2.943
孝子	2.389	3.611
信函	1.556	4.444
兴衰	3.472	2.528
休假	1.829	4.171
修长	2.750	3.250
巡视	2.389	3.611
殉职	1.800	4.200
延期	2.333	3.667
沿岸	1.972	4.028
引进	2.735	3.265
影像	2.167	3.833
应急	2.861	3.139
原野	2.343	3.657
阅读	2.000	4.000
云端	3.222	2.778
赃物	1.944	4.056
栅栏	1.583	4.417
战祸	3.111	2.889
照片	1.444	4.556
照相	1.639	4.361
振动	2.222	3.778
指纹	1.333	4.667
主帅	1.722	4.278
装饰	2.389	3.611
自修	3.094	2.906
诅咒	3.667	2.333
薄情	3.722	2.278
编号	1.750	4.250
变卖	2.657	3.343
濒临	3.686	2.314
