token,count
哟,8325
傅,8324
纽,8303
跌,8293
饼,8288
踢,8276
驾,8265
哑,8241
晕,8212
烛,8208
翰,8207
袭,8206
俱,8189
欠,8184
袁,8166
笨,8163
娇,8161
葬,8147
董,8145
侯,8138
繁,8100
桶,8084
嘻,8076
坟,8076
蒋,8060
枯,8059
辑,8057
芙,8053
邪,8029
凌,8019
饱,8014
陌,7989
腐,7967
钉,7966
扰,7949
嘲,7939
锋,7911
靖,7909
添,7906
刊,7884
捷,7870
盼,7864
输,7824
箭,7792
惹,7791
搜,7767
悬,7765
召,7754
勤,7743
央,7736
筒,7735
侠,7727
谎,7726
捏,7714
摘,7678
嘿,7666
庞,7655
鹰,7637
砍,7611
港,7598
奖,7591
腹,7582
糕,7580
柄,7574
贞,7568
宅,7557
巷,7557
均,7554
倦,7545
签,7542
凄,7533
讶,7503
滋,7494
摊,7478
祈,7475
宴,7470
棚,7469
皆,7469
碧,7469
邀,7465
陶,7457
萧,7453
豫,7446
凳,7443
勉,7439
喉,7438
斐,7431
贾,7430
润,7423
蜂,7421
捧,7405
锐,7399
页,7399
淑,7398
裹,7379
销,7370
娶,7364
帘,7362
愧,7340
殊,7296
秃,7291
祸,7282
乞,7278
碍,7268
廷,7264
嫌,7263
倍,7257
奸,7252
穆,7247
措,7238
刮,7236
吼,7230
冠,7226
戚,7225
撑,7201
惟,7197
沾,7189
竭,7178
浴,7175
拦,7167
婴,7166
悟,7161
寡,7146
乳,7143
寓,7143
霞,7136
逢,7135
瞬,7130
振,7127
谨,7112
航,7102
汇,7096
灌,7092
芒,7083
梳,7077
歉,7077
壶,7068
脉,7049
卜,7048
葡,7040
撕,7028
牺,7027
呜,7018
播,7015
寸,7012
砖,7001
杭,6989
萄,6983
患,6968
泼,6961
煤,6961
诱,6961
淋,6958
娥,6953
曹,6952
斑,6941
痴,6937
洒,6904
账,6902
疏,6887
眠,6885
怖,6872
泛,6871
涉,6869
咳,6868
役,6852
绘,6843
丘,6832
拨,6816
妨,6815
吩,6813
慎,6798
扩,6784
畏,6772
筋,6762
寿,6759
颊,6758
挽,6752
乖,6747
搁,6744
谦,6736
艰,6729
剥,6714
滩,6714
矩,6709
婶,6706
俊,6695
巡,6694
厢,6686
俯,6677
霆,6672
叙,6670
翁,6669
湾,6662
驱,6653
伪,6650
趁,6646
贯,6633
蹲,6622
抑,6613
符,6603
揭,6599
哄,6584
匙,6575
祭,6575
孝,6572
逝,6554
搂,6541
蛮,6527
盈,6526
泣,6523
苗,6495
坑,6483
贪,6480
殷,6463
竞,6461
叛,6459
蜡,6450
估,6444
绅,6443
慨,6433
贤,6429
邮,6422
辣,6417
叉,6408
趟,6407
绵,6406
斤,6401
踩,6383
咒,6381
抄,6373
御,6371
怔,6363
涅,6337
叠,6332
跨,6323
怯,6317
裁,6315
艳,6311
企,6305
赢,6282
矛,6277
催,6268
掠,6267
纱,6261
裸,6255
霸,6253
砸,6251
篷,6240
枕,6209
颠,6208
朴,6201
罐,6201
订,6195
驰,6192
泄,6187
融,6187
培,6170
渡,6167
辨,6143
违,6132
棺,6107
盾,6100
坛,6096
爽,6087
耍,6085
潘,6083
冻,6077
宙,6076
帆,6073
窄,6054
哗,6043
妥,6037
烤,6020
赐,6020
咋,6017
吱,6004
恳,5997
眨,5989
仓,5987
哨,5987
竖,5987
贺,5978
饶,5968
诞,5965
氛,5942
骄,5939
闯,5930
芦,5906
玫,5901
拆,5893
蕾,5888
猴,5885
冈,5884
雇,5876
核,5872
衰,5871
轿,5860
雀,5860
匪,5852
讽,5843
傍,5837
毯,5829
植,5815
骚,5814
躁,5809
颈,5803
桩,5790
兔,5779
羽,5777
狮,5745
壳,5744
刹,5719
婉,5709
籍,5708
鄙,5703
杖,5702
浸,5696
惶,5693
枚,5692
疗,5683
潜,5680
岗,5679
债,5678
焰,5678
晴,5670
侵,5663
厄,5656
玄,5655
呈,5646
液,5636
漏,5636
押,5613
链,5599
棋,5597
僵,5594
哇,5592
屏,5591
讯,5577
饥,5575
瞒,5568
躬,5565
腕,5551
册,5550
妒,5525
茅,5522
钥,5518
咯,5517
恒,5514
申,5513
撤,5512
屠,5503
纠,5503
鹤,5494
契,5489
覆,5483
嘟,5474
珊,5469
粒,5467
晌,5462
症,5451
愣,5445
篮,5444
削,5439
仑,5427
币,5424
敞,5420
惩,5417
斥,5416
塑,5414
廉,5407
逗,5400
憾,5395
贡,5388
翅,5383
晶,5367
蓬,5358
狭,5353
彭,5344
炕,5332
堵,5326
躯,5326
胃,5303
胁,5301
捡,5288
劫,5271
旺,5269
夕,5263
寞,5237
妓,5236
斋,5236
钩,5229
兜,5221
绣,5212
劈,5208
霉,5196
藤,5192
宏,5184
喇,5167
瞅,5166
盐,5158
丐,5142
溪,5141
绑,5130
姻,5123
帅,5116
涨,5111
薛,5110
澡,5102
垫,5086
丫,5082
冤,5077
姚,5077
槽,5067
甩,5062
衷,5061
咧,5058
萍,5058
鸭,5051
迁,5050
啪,5048
庸,5047
叮,5037
嘱,5037
侄,5035
畅,5031
脊,5022
玲,5017
购,5017
窃,5007
嗡,5005
肌,5003
域,5000
晒,4984
诵,4981
绸,4976
鸦,4954
顽,4953
恕,4951
瑰,4951
萝,4947
询,4935
妖,4934
侮,4917
碑,4917
妆,4900
罕,4897
煮,4895
瞥,4894
焉,4893
绒,4874
弓,4855
盲,4850
陛,4838
伐,4837
搅,4828
盏,4826
蔑,4814
琪,4809
援,4807
詹,4799
析,4781
灿,4775
爪,4755
劣,4752
颂,4750
栗,4749
芝,4741
嘶,4739
嫩,4737
喻,4731
茂,4727
驳,4725
靴,4719
仲,4703
障,4702
鹏,4692
衡,4689
樱,4688
拱,4680
辰,4671
掀,4668
挪,4666
谊,4660
兆,4657
姥,4656
矣,4655
尉,4654
舱,4654
邓,4651
隶,4644
熬,4641
拢,4639
捆,4639
宰,4634
烁,4624
鹅,4611
灶,4606
陀,4606
嘎,4604
矿,4603
沫,4601
泊,4601
贱,4600
媚,4591
嚼,4582
宛,4582
蹄,4562
堤,4561
汁,4552
渊,4551
塌,4549
填,4548
励,4529
赚,4520
揉,4517
肿,4513
胎,4503
佣,4502
晰,4499
遵,4494
佑,4492
锦,4486
兼,4478
畜,4475
韵,4472
汀,4467
袜,4455
坊,4448
售,4446
喧,4444
稽,4440
恍,4438
刃,4432
炎,4418
蔡,4408
嗦,4402
啤,4398
幢,4392
耗,4389
拘,4387
眯,4385
囚,4382
昔,4356
镖,4349
凛,4343
囊,4332
姊,4331
卓,4330
儒,4326
妞,4323
嫉,4310
驼,4305
崖,4296
吁,4294
膛,4283
炼,4274
倚,4272
赴,4268
妄,4263
叨,4256
碌,4256
啸,4250
摄,4244
弦,4234
裳,4232
键,4232
偿,4229
嗽,4229
崔,4219
轩,4217
秒,4215
贩,4211
烫,4210
缸,4209
磕,4207
肖,4200
逆,4192
拂,4186
侦,4175
肢,4171
遣,4168
裘,4167
粪,4146
宠,4142
绩,4130
腻,4127
塘,4119
涛,4114
掷,4113
赋,4112
频,4112
姬,4095
逛,4093
谱,4081
耽,4071
盟,4064
憎,4061
棕,4061
纤,4061
陋,4059
蝶,4056
犬,4055
伞,4046
嗅,4029
览,4028
扁,4027
溢,4014
郊,4008
坠,3991
络,3984
稣,3980
橱,3979
暮,3974
虹,3968
厕,3965
粹,3964
舟,3946
彬,3942
咙,3931
笛,3894
址,3882
昌,3882
艇,3877
羡,3875
痒,3852
诊,3843
赔,3843
荫,3842
鲍,3835
朦,3833
熄,3830
攀,3827
屑,3822
框,3817
株,3806
虔,3802
浩,3793
诃,3792
黛,3791
蹦,3784
苹,3774
泳,3772
庇,3769
酬,3764
檐,3763
