token,count
猜,5515
照顾,5514
味道,5508
这人,5506
天上,5505
就让,5505
在于,5503
到来,5502
更好,5499
平时,5494
拼命,5494
门前,5493
公主,5490
伸,5488
老子,5486
入,5484
玻璃,5484
游戏,5482
约翰,5477
使得,5468
健康,5468
似地,5467
感谢,5467
这点,5466
言,5464
我家,5461
递给,5457
任务,5450
伦敦,5448
脱,5442
逐渐,5441
接过,5439
满脸,5439
脾气,5439
皆,5435
仍旧,5425
形式,5422
打断,5420
只怕,5418
白天,5418
不许,5414
清,5414
温暖,5410
欢迎,5409
距离,5405
木,5404
杜,5403
环境,5402
撞,5396
说不出,5396
声响,5394
根,5393
看过,5389
箱子,5380
智慧,5375
形成,5373
匹,5366
脚下,5366
皮,5364
系,5363
碗,5362
斗争,5359
费,5356
亚,5354
相反,5354
安娜,5352
普通,5352
牺牲,5352
理想,5352
举,5349
广场,5349
一个个,5346
沙发,5336
卷,5333
渴望,5323
举行,5322
一大,5319
功夫,5318
感激,5317
打量,5317
不算,5308
小子,5306
跪,5301
守,5295
反应,5289
话题,5286
取出,5284
连忙,5284
大叫,5283
随即,5282
捧,5281
匆匆,5280
再见,5278
祈祷,5276
天天,5275
把手,5275
赶,5274
亲切,5267
墙,5258
说起,5253
举起,5248
胡子,5248
气氛,5246
好看,5243
海,5239
欢乐,5237
美好,5236
出发,5234
折磨,5223
克,5222
楼,5221
军官,5218
主,5217
力气,5216
吉,5211
食物,5209
对待,5208
可不是,5204
嘴巴,5203
皮肤,5202
独自,5198
实际,5197
欧洲,5188
闪,5187
克利斯,5182
收到,5180
童霜威,5176
正常,5170
用力,5169
地板,5164
当初,5160
小孩子,5156
此外,5150
占,5148
媳妇,5145
岂,5140
老头,5134
前来,5125
勇气,5123
卧室,5123
对此,5118
楼上,5110
地问,5103
挣扎,5101
书记,5099
爸,5099
事儿,5095
石,5093
第二,5091
疯,5086
谈谈,5086
发觉,5084
不论,5082
事业,5080
傍晚,5077
地向,5076
扯,5076
村子,5075
累,5073
快活,5072
江湖,5069
香,5066
意外,5064
尽量,5062
干吗,5061
封信,5058
恐怖,5054
热闹,5048
世纪,5047
幻想,5044
令狐冲,5042
惊,5041
欣赏,5035
钥匙,5033
战士,5032
房,5032
船长,5030
除非,5030
期间,5026
毛,5026
数,5025
因而,5023
杀死,5016
神圣,5010
读书,5010
一块儿,5004
退,5004
写作,5001
失败,5001
干部,4998
追求,4998
王后,4996
帮忙,4995
司机,4992
孤独,4992
情人,4989
提醒,4987
不能不,4977
男女,4977
吾,4975
无数,4973
地区,4971
屋顶,4968
村里,4966
两年,4965
各自,4965
谈到,4965
赵,4965
夜,4963
走开,4956
踢,4950
伤害,4947
之上,4945
轻松,4943
沈浪,4942
前进,4940
深深,4938
走近,4938
合适,4935
嚷,4932
泪水,4928
部队,4926
窗口,4923
长大,4922
正要,4919
最初,4914
今年,4912
挑,4912
道德,4912
悲哀,4911
科学,4911
一堆,4907
工夫,4907
田,4907
钟,4907
家霆,4904
十年,4901
一带,4891
朵夫,4891
可不,4890
老人家,4888
报,4885
逼,4885
船上,4883
相,4881
破坏,4881
财产,4879
咖啡,4877
遇见,4877
之类,4876
绝不,4876
三天,4870
压,4870
摇摇头,4870
忽,4868
反,4866
已有,4864
难受,4861
校长,4854
三年,4851
堆,4848
急忙,4843
出版,4842
带到,4840
生意,4839
检查,4837
寂寞,4830
大事,4828
判断,4825
杀人,4825
性命,4823
做到,4818
疯狂,4815
两条,4813
其余,4813
山上,4810
特殊,4810
至今,4809
教师,4806
眼神,4802
顺着,4795
何必,4793
共同,4793
作出,4787
通知,4787
响起,4785
去年,4781
忍受,4780
此人,4779
孔子,4777
情感,4773
蒙,4772
谈论,4769
苍白,4763
明亮,4762
这条,4761
会议,4760
傻,4760
古怪,4759
一同,4758
哎,4758
陛下,4758
为何,4755
背上,4755
异常,4754
纷纷,4753
妇人,4750
绅士,4749
宣布,4747
众,4744
无比,4743
关上,4733
队长,4733
推开,4729
支持,4726
瘦,4724
头顶,4722
点儿,4719
开玩笑,4718
复杂,4717
此事,4716
蓝色,4712
叹息,4710
增加,4709
建筑,4707
中心,4706
亲,4705
开心,4705
中央,4703
接触,4702
必定,4701
药,4699
出手,4697
以便,4696
偶然,4696
许,4695
转向,4694
蹲,4685
言语,4674
上午,4671
踩,4667
张无忌,4666
罗,4666
好多,4663
愚蠢,4662
墙壁,4661
记住,4659
法官,4657
绿色,4655
家中,4654
材料,4653
挨,4649
沉思,4643
传,4642
抹,4639
自我,4639
好人,4638
描写,4636
滚,4636
外国,4635
牙齿,4630
创作,4628
仅,4627
燕西,4625
送来,4623
摆脱,4622
尚未,4621
确定,4621
几,4618
名叫,4616
叔叔,4615
搬,4611
角色,4611
竟是,4610
度过,4607
古老,4601
当下,4600
最终,4600
乔治,4599
汉子,4599
试,4599
扎,4597
逃,4596
顿时,4595
须,4593
瞅,4592
扶,4590
走路,4590
捏,4584
预备,4584
足够,4582
交谈,4581
可笑,4581
文,4577
无聊,4575
吸引,4572
草地,4572
明,4571
善良,4568
放到,4568
比如,4568
依旧,4566
醒来,4566
赶到,4564
多久,4550
权利,4547
瞧瞧,4544
心理,4540
蓝,4536
两次,4535
均,4535
散步,4533
怀着,4530
批评,4530
雷,4528
不动,4524
柄,4523
跳舞,4523
莲,4519
一幅,4518
学会,4516
主张,4512
陷入,4509
信任,4502
地点,4499
后悔,4495
通常,4494
意大利,4493
树木,4492
文明,4487
欲,4484
认出,4481
监狱,4480
靠近,4480
现代,4475
疼,4474
不免,4473
认得,4469
眼下,4463
未必,4462
宽,4459
相互,4457
窗子,4457
低头,4453
愿望,4453
著名,4453
醒,4452
信仰,4449
用来,4449
大海,4448
手段,4448
有钱,4448
其他人,4447
堂,4447
干脆,4447
婴儿,4445
饿,4444
师,4443
哲学,4442
权力,4441
龙,4438
语气,4434
建立,4432
目标,4429
欲望,4428
岁,4425
奥,4422
武器,4422
表达,4420
尊敬,4418
一旁,4415
心思,4415
公寓,4413
打扮,4412
布,4410
中午,4408
故乡,4408
专门,4407
裤子,4406
一手,4403
脑子里,4403
从不,4397
五个,4395
奔,4395
塔,4394
方便,4389
弯,4387
灰色,4385
那双,4382
劳动,4381
牧师,4380
凡是,4379
分别,4376
秘书,4374
杂志,4373
好奇,4371
福,4371
礼物,4370
陌生,4368
女士,4365
等于,4365
改,4363
月光,4362
房屋,4361
长长的,4361
眼看,4360
实现,4359
毫不,4358
理论,4357
宇宙,4355
观众,4353
文艺,4352
两种,4348
绿,4345
年代,4335
加以,4333
官,4333
掌,4333
鸡,4329
为此,4328
自杀,4328
准,4321
律师,4321
不然,4315
大部分,4315
厌恶,4313
对象,4313
胸口,4313
不出,4311
悲伤,4310
鲁迅,4303
不好意思,4302
绳子,4301
一个月,4300
了不起,4298
土,4297
不准,4291
郭靖,4290
相同,4289
晚饭,4286
高大,4286
